report_id,text,label
R001,"Worker climbed on a pipeline without a harness. The surface was slippery and no barricading was present.",1
R002,"Technician entered a confined space without gas testing and without a standby person.",1
R003,"Worker noticed a small oil spill near the walkway and cleaned it immediately.",0
R004,"Maintenance was started before energy isolation was confirmed.",1
R005,"Employee was wearing helmet, gloves and safety shoes during routine inspection.",0
R006,"Contractor performed hot work without checking the permit and fire watch.",1
R007,"A vehicle reversed near a pedestrian walkway without a spotter.",1
R008,"Minor housekeeping issue was reported in the office corridor.",0
R009,"Gas smell was detected near a process line and the area was isolated.",1
R010,"Worker used the designated access ladder with required PPE.",0
R011,"Machine guard was removed during operation to speed up production.",1
R012,"A near miss occurred when a worker entered the line of fire of moving equipment.",1
R013,"Routine equipment inspection was completed according to procedure.",0
R014,"Scaffold was used without proper edge protection and access control.",1
R015,"Small water spill was reported and housekeeping staff dried the area.",0
