report_id,text,label,life_saving_rule,risk_category,site,department,activity
R001,"Worker climbed on a pipeline without a harness. The surface was slippery and no barricading was present.",1,"Work at Height","Fall from Height","Site A","Operations","Pipeline Inspection"
R002,"Technician entered a confined space without gas testing and without a standby person.",1,"Confined Space","Gas/Chemical Exposure","Site A","Maintenance","Tank Inspection"
R003,"Worker noticed a small oil spill near the walkway and cleaned it immediately.",0,"None","Housekeeping","Site A","Operations","Housekeeping"
R004,"Maintenance was started before energy isolation was confirmed.",1,"Energy Isolation","Unexpected Energy Release","Site B","Maintenance","Equipment Maintenance"
R005,"Employee was wearing helmet, gloves and safety shoes during routine inspection.",0,"None","PPE Compliance","Site B","Inspection","Routine Inspection"
R006,"Contractor performed hot work without checking the permit and fire watch.",1,"Hot Work","Fire and Explosion","Site A","Contractor","Welding"
R007,"A vehicle reversed near a pedestrian walkway without a spotter.",1,"Line of Fire","Vehicle Interaction","Site C","Logistics","Vehicle Movement"
R008,"Minor housekeeping issue was reported in the office corridor.",0,"None","Housekeeping","Site C","Administration","Housekeeping"
R009,"Gas smell was detected near a process line and the area was isolated.",1,"Confined Space","Gas/Chemical Exposure","Site A","Operations","Process Inspection"
R010,"Worker used the designated access ladder with required PPE.",0,"None","PPE Compliance","Site A","Operations","Routine Work"
R011,"Machine guard was removed during operation to speed up production.",1,"Energy Isolation","Mechanical Hazard","Site B","Production","Machine Operation"
R012,"A near miss occurred when a worker entered the line of fire of moving equipment.",1,"Line of Fire","Struck By Equipment","Site B","Operations","Equipment Movement"
R013,"Routine equipment inspection was completed according to procedure.",0,"None","Equipment Safety","Site C","Maintenance","Inspection"
R014,"Scaffold was used without proper edge protection and access control.",1,"Work at Height","Fall from Height","Site A","Maintenance","Scaffolding"
R015,"Small water spill was reported and housekeeping staff dried the area.",0,"None","Housekeeping","Site C","Housekeeping","Cleaning"
R016,"Worker was found working near an open edge without a safety harness.",1,"Work at Height","Fall from Height","Site A","Construction","Elevated Work"
R017,"Technician isolated electrical power and verified zero energy before maintenance.",0,"Energy Isolation","Electrical Safety","Site B","Electrical","Maintenance"
R018,"Hot work was started near combustible material without a fire watch.",1,"Hot Work","Fire and Explosion","Site A","Maintenance","Welding"
R019,"Worker entered a restricted area while heavy equipment was operating.",1,"Line of Fire","Struck By Equipment","Site C","Operations","Equipment Operation"
R020,"Employee completed the required pre-job safety checklist before starting work.",0,"None","Safety Procedure","Site B","Operations","Pre-job Inspection"
R021,"Gas detector was not available before workers entered the confined space.",1,"Confined Space","Gas/Chemical Exposure","Site A","Maintenance","Vessel Entry"
R022,"Worker wore all required PPE while handling routine maintenance work.",0,"None","PPE Compliance","Site B","Maintenance","Routine Maintenance"
R023,"A lifting operation was performed while workers stood underneath the suspended load.",1,"Line of Fire","Dropped Object","Site C","Operations","Lifting"
R024,"Energy isolation was verified and lockout tags were applied before repair work.",0,"Energy Isolation","Electrical Safety","Site B","Maintenance","Repair"
R025,"Worker climbed a ladder while carrying heavy equipment with both hands occupied.",1,"Work at Height","Fall from Height","Site A","Maintenance","Ladder Work"
R026,"Chemical container was properly labelled and stored in the designated area.",0,"None","Chemical Safety","Site C","Warehouse","Chemical Storage"
R027,"A worker bypassed an interlock to keep a production machine running.",1,"Energy Isolation","Mechanical Hazard","Site B","Production","Machine Operation"
R028,"The work area was barricaded before maintenance activities started.",0,"None","Work Area Control","Site A","Maintenance","Maintenance"
R029,"Worker detected a strong chemical smell but continued working without reporting it.",1,"Confined Space","Gas/Chemical Exposure","Site A","Operations","Process Work"
R030,"Fire extinguisher and emergency equipment were checked before hot work.",0,"Hot Work","Fire Safety","Site B","Maintenance","Welding"
R031,"Contractor worked at height without connecting the fall-arrest lanyard.",1,"Work at Height","Fall from Height","Site C","Contractor","Construction"
R032,"Vehicle movement was controlled using a trained banksman and designated route.",0,"Line of Fire","Vehicle Interaction","Site A","Logistics","Vehicle Movement"
R033,"Worker attempted to repair energized electrical equipment without isolation.",1,"Energy Isolation","Electrical Shock","Site B","Electrical","Electrical Repair"
R034,"Confined-space entry permit was approved and gas testing was completed.",0,"Confined Space","Confined Space Safety","Site C","Operations","Tank Entry"
R035,"A worker stood close to a rotating machine with a removed protective guard.",1,"Line of Fire","Mechanical Hazard","Site A","Production","Machine Operation"
R036,"Routine PPE inspection found that all required protective equipment was available.",0,"None","PPE Compliance","Site B","HSE","PPE Inspection"
R037,"Scaffold platform had missing guardrails while workers were preparing to use it.",1,"Work at Height","Fall from Height","Site C","Construction","Scaffolding"
R038,"Maintenance team followed the approved isolation procedure before opening the equipment.",0,"Energy Isolation","Unexpected Energy Release","Site A","Maintenance","Equipment Repair"
R039,"Welding was performed without checking nearby combustible materials.",1,"Hot Work","Fire and Explosion","Site B","Contractor","Welding"
R040,"A pedestrian used the designated walkway while vehicles were operating in another area.",0,"Line of Fire","Vehicle Interaction","Site C","Logistics","Pedestrian Movement"
R041,"Worker removed required eye protection while handling a chemical substance.",1,"PPE","Chemical Exposure","Site A","Operations","Chemical Handling"
R042,"Gas testing was repeated during confined-space work according to the permit requirements.",0,"Confined Space","Gas/Chemical Exposure","Site B","Maintenance","Confined Space Work"
R043,"A heavy object fell near a worker because the lifting area was not controlled.",1,"Line of Fire","Dropped Object","Site C","Maintenance","Lifting"
R044,"Operator stopped the machine before entering the maintenance zone.",0,"Energy Isolation","Unexpected Energy Release","Site A","Operations","Machine Maintenance"
R045,"Worker used an unstable temporary platform while working several metres above ground.",1,"Work at Height","Fall from Height","Site B","Construction","Elevated Work"
R046,"Hot work permit was approved and fire watch remained present throughout the activity.",0,"Hot Work","Fire Safety","Site C","Maintenance","Welding"
R047,"Worker entered an area where toxic gas could be released without respiratory protection.",1,"Confined Space","Gas/Chemical Exposure","Site A","Operations","Process Inspection"
R048,"Vehicle operator stopped and waited for pedestrians to clear the crossing.",0,"Line of Fire","Vehicle Interaction","Site B","Logistics","Vehicle Movement"
